Date;CPI;Fraction;GS2;GS10;2y_returns;2y_real_returns;10y_returns;10y_real_returns
1969-11;37,5;1969,875;;7,292;;;0,981128398;0,935771752
1969-12;37,7;1969,958333;;7,882;;;0,965567863;0,913215641
1970-01;37,8;1970,041667;;7,752;;;1,015544497;0,877093841
1970-02;38;1970,125;;6,902;;;1,067376459;0,888371401
1970-03;38,2;1970,208333;;7,082;;;0,992953648;0,943236053
1970-04;38,5;1970,291667;;7,822;;;0,954961642;0,931686069
1970-05;38,6;1970,375;;7,952;;;0,997619686;0,88279154
1970-06;38,8;1970,458333;;7,682;;;1,025326293;0,878408638
1970-07;39;1970,541667;;7,382;;;1,027452769;0,896012918
1970-08;39;1970,625;;7,492;;;0,998469951;0,915889872
1970-09;39,2;1970,708333;;7,292;;;1,02033282;0,914488515
1970-10;39,4;1970,791667;;7,332;;;1,003263703;0,92832202
1970-11;39,6;1970,875;;6,492;;;1,06741369;0,926624113
1970-12;39,8;1970,958333;;6,502;;;1,004680519;0,984095854
1971-01;39,8;1971,041667;;6,092;;;1,035879658;0,983733581
1971-02;39,9;1971,125;;6,142;;;1,001370183;1,019029606
1971-03;40;1971,208333;;5,532;;;1,051596905;1,017868405
1971-04;40,1;1971,291667;;6,082;;;0,963728926;1,067711296
1971-05;40,3;1971,375;;6,382;;;0,983066637;1,026418215
1971-06;40,6;1971,458333;;6,702;;;0,982181299;1,004029873
1971-07;40,7;1971,541667;;6,852;;;0,994811269;0,97885262
1971-08;40,8;1971,625;;6,282;;;1,047700177;0,971381053
1971-09;40,8;1971,708333;;6,002;;;1,026122016;1,0152217
1971-10;40,9;1971,791667;;5,872;;;1,014756046;1,041741337
1971-11;40,9;1971,875;;5,932;;;1,000403446;1,054528691
1971-12;41,1;1971,958333;;5,892;;;1,007941981;1,054954136
1972-01;41,1;1972,041667;;6,092;;;0,990050817;1,058158194
1972-02;41,3;1972,125;;6,042;;;1,008799801;1,047630385
1972-03;41,4;1972,208333;;6,122;;;0,999099312;1,05173141
1972-04;41,5;1972,291667;;6,142;;;1,003619073;1,048246002
1972-05;41,6;1972,375;;6,052;;;1,011816969;1,049504645
1972-06;41,7;1972,458333;;6,152;;;0,997633685;1,059353949
1972-07;41,9;1972,541667;;6,122;;;1,00735255;1,054312779
1972-08;42;1972,625;;6,422;;;0,983139156;1,056995145
1972-09;42,1;1972,708333;;6,542;;;0,996613447;1,036699092
1972-10;42,3;1972,791667;;6,412;;;1,014972996;1,030734127
1972-11;42,4;1972,875;;6,282;;;1,01492004;1,041220887
1972-12;42,5;1972,958333;;6,412;;;0,995713671;1,054263596
1973-01;42,6;1973,041667;;6,542;;;0,995876929;1,047274688
1973-02;42,9;1973,125;;6,642;;;0,998202082;1,040508445
1973-03;43,3;1973,208333;;6,732;;;0,999036352;1,031374495
1973-04;43,6;1973,291667;;6,702;;;1,007779097;1,020862086
1973-05;43,9;1973,375;;6,932;;;0,989123534;1,021724548
1973-06;44,2;1973,458333;;6,942;;;1,005061266;1,003705565
1973-07;44,3;1973,541667;;7,432;;;0,971476635;1,001938625
1973-08;45,1;1973,625;;7,252;;;1,01889613;0,971162764
1973-09;45,2;1973,708333;;6,902;;;1,031126581;0,971961627
1973-10;45,6;1973,791667;;6,712;;;1,019483195;0,999998178
1973-11;45,9;1973,875;;6,692;;;1,007040039;1,010538519
1973-12;46,2;1973,958333;;6,902;;;0,990526718;1,011001425
1974-01;46,6;1974,041667;;7,002;;;0,998616566;0,99492117
1974-02;47,2;1974,125;;7,012;;;1,005121804;0,985016481
1974-03;47,8;1974,208333;;7,412;;;0,977812005;0,977476015
1974-04;48;1974,291667;;7,662;;;0,988847123;0,943790445
1974-05;48,6;1974,375;;7,522;;;1,016148935;0,929375865
1974-06;49;1974,458333;;7,642;;;0,997942907;0,93272523
1974-07;49,4;1974,541667;;7,892;;;0,989211023;0,923208107
1974-08;50;1974,625;;8,112;;;0,991621192;0,905852918
1974-09;50,6;1974,708333;;7,942;;;1,018401732;0,887483795
1974-10;51,1;1974,791667;;7,792;;;1,016957468;0,89309786
1974-11;51,5;1974,875;;7,642;;;1,016900116;0,899355625
1974-12;51,9;1974,958333;;7,402;;;1,023194487;0,9074515
1975-01;52,1;1975,041667;;7,532;;;0,997105777;0,921343308
1975-02;52,5;1975,125;;7,462;;;1,01117144;0,915150145
1975-03;52,7;1975,208333;;8,012;;;0,9686678;0,918323225
1975-04;52,9;1975,291667;;8,312;;;0,986457761;0,886174236
1975-05;53,2;1975,375;;8,042;;;1,025336677;0,87086845
1975-06;53,6;1975,458333;;7,962;;;1,012175388;0,887898024
1975-07;54,2;1975,541667;;8,202;;;0,990383124;0,892001747
1975-08;54,3;1975,625;;8,282;;;1,001436332;0,873643881
1975-09;54,6;1975,708333;;8,482;;;0,993520389;0,873287492
1975-10;54,9;1975,791667;;7,912;;;1,046153119;0,862861737
1975-11;55,3;1975,875;;8,142;;;0,990978287;0,89775279
1975-12;55,5;1975,958333;;7,762;;;1,033011621;0,883218415
1976-01;55,6;1976,041667;;7,802;;;1,003712427;0,909087049
1976-02;55,8;1976,125;;7,772;;;1,00857129;0,91082085
1976-03;55,9;1976,208333;;7,662;;;1,014101666;0,915335188
1976-04;56,1;1976,291667;;7,672;;;1,00569212;0,926582397
1976-05;56,5;1976,375;;7,962;;;0,986551093;0,928534488
1976-06;56,8;1976,458333;7,02;7,862;;;1,013506854;0,909561428
1976-07;57,1;1976,541667;6,74;7,862;1,010871284;1;1,006551667;0,916977832
1976-08;57,4;1976,625;6,5;7,662;1,009930702;1,005560226;1,020415302;0,918136254
1976-09;57,6;1976,708333;6,33;7,552;1,008477512;1,010238412;1,014046629;0,931983696
1976-10;57,9;1976,791667;6,03;7,422;1,010692332;1,015265211;1,015399533;0,941793415
1976-11;58;1976,875;5,42;7,012;1,016106146;1,020804076;1,035426027;0,951341689
1976-12;58,2;1976,958333;5,34;6,812;1,005971071;1,035456942;1,020233732;0,983345593
1977-01;58,5;1977,041667;6,189;7,402;0,989142732;1,03806021;0,964312372;0,999794777
1977-02;59,1;1977,125;6,089;7,802;1,006962237;1,021524124;0,978609274;0,959170296
1977-03;59,5;1977,208333;6,019;7,422;1,006338347;1,01819321;1,033119787;0,929123475
1977-04;60;1977,291667;6,149;7,452;1,002671049;1,01775849;1,004086323;0,953442766
1977-05;60,3;1977,375;6,189;7,382;1,004402976;1,011972997;1,011121924;0,949361018
1977-06;60,7;1977,458333;6,089;7,202;1,006962237;1,011371831;1,018882364;0,955144018
1977-07;61;1977,541667;6,509;7,422;0,997525268;1,011702117;0,990591176;0,966766352
1977-08;61,2;1977,625;6,599;7,112;1,003807964;1,004235154;1,028196964;0,952960363
1977-09;61,4;1977,708333;6,829;7,412;1,001378114;1,004764934;0,98490317;0,976628891
1977-10;61,6;1977,791667;7,239;7,622;0,998373853;1,002872255;0,991594476;0,958751716
1977-11;61,9;1977,875;7,119;7,552;1,008176555;0,997990653;1,011227249;0,94760624
1977-12;62,1;1977,958333;7,249;7,782;1,003612707;1,001274443;0,990433109;0,95360109
1978-01;62,5;1978,041667;7,479;7,942;1,001945747;1,001655388;0,995528076;0,941436295
1978-02;62,9;1978,125;7,579;8,042;1,004453755;0,997181287;0,999799811;0,931228015
1978-03;63,4;1978,208333;7,709;8,152;1,004006381;0,995252871;0,999236821;0,92512082
1978-04;63,9;1978,291667;7,979;8,242;1,001640155;0,991359789;1,000709369;0,91712445
1978-05;64,5;1978,375;8,129;8,422;1,003995243;0,985215931;0,994794163;0,910593691
1978-06;65,2;1978,458333;8,489;8,622;1,000426906;0,979950693;0,993716985;0,897426746
1978-07;65,7;1978,541667;8,479;8,562;1,007250497;0,969843606;1,011185656;0,882213787
1978-08;66;1978,625;8,469;8,392;1,00724218;0,969441089;1,018553073;0,885292871
1978-09;66,5;1978,708333;8,709;8,562;1,002834985;0,972023493;0,995658142;0,897619058
1978-10;67,1;1978,791667;9,129;8,962;0,999898008;0,967449998;0,980914825;0,887002011
1978-11;67,4;1978,875;9,559;8,862;1,000103953;0,958701389;1,014051296;0,862293332
1978-12;67,7;1978,958333;9,989;9,152;1,000493275;0,954533388;0,988527839;0,87051764
1979-01;68,3;1979,041667;9,649;8,952;1,014252064;0,950772311;1,020742322;0,856717638
1979-02;69,1;1979,125;9,899;9,172;1,00369256;0,955851422;0,993166664;0,866805773
1979-03;69,8;1979,208333;9,729;9,112;1,011210833;0,948273801;1,011551425;0,850915796
1979-04;70,6;1979,291667;9,919;9,352;1,004803448;0,949288217;0,992118645;0,852112972
1979-05;71,5;1979,375;9,569;9,062;1,014372784;0,943039597;1,026722493;0,835817595
1979-06;72,3;1979,458333;8,979;8,812;1,018327479;0,944552662;1,024044133;0,847350803
1979-07;73,1;1979,541667;9,319;9,012;1,001535724;0,951220899;0,994261036;0,858123239
1979-08;73,8;1979,625;9,849;9,242;0,998543059;0,942255647;0,992611108;0,843861171
1979-09;74,6;1979,708333;10,109;9,442;1,003694419;0,931958474;0,994854871;0,82968101
1979-10;75,2;1979,791667;12,069;10,722;0,975034975;0,925370403;0,929908069;0,816560589
1979-11;75,9;1979,875;11,339;10,382;1,022580281;0,895069557;1,02993518;0,753267826
1979-12;76,7;1979,958333;11,239;10,332;1,011166258;0,906839157;1,011746318;0,768661936
1980-01;77,8;1980,041667;11,879;11,132;0,998443458;0,907400983;0,96069475;0,769579375
1980-02;78,9;1980,125;14,739;12,722;0,962396847;0,893178968;0,919926704;0,728877601
1980-03;80,1;1980,208333;14,639;12,642;1,013944989;0,847608442;1,015111493;0,661165865
1980-04;81;1980,291667;10,819;10,762;1,078056418;0,846553001;1,124851371;0,661102281
1980-05;81,8;1980,375;9,259;10,252;1,036316831;0,902491541;1,040638464;0,73537912
1980-06;82,7;1980,458333;8,979;10,092;1,012629269;0,926120307;1,018545228;0,757779555
1980-07;82,7;1980,541667;9,729;10,762;0,994416324;0,927610546;0,967669591;0,763433119
1980-08;83,3;1980,625;11,369;11,552;0,979982201;0,922431069;0,962451121;0,738751015
1980-09;84;1980,708333;12,139;11,862;0,996365738;0,89745487;0,991599513;0,705890409
1980-10;84,8;1980,791667;13,089;12,462;0,994088656;0,886741672;0,975819313;0,694127581
1980-11;85,5;1980,875;14,139;12,722;0,993368691;0,873183801;0,995774314;0,67095307
1980-12;86,3;1980,958333;13,069;12,432;1,029837593;0,860291983;1,027086364;0,662647863
